id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,24,2,0.62,0.85,0.35,0.46,0.42,0.06,CAN,23,7,13,4,6
tauso,Clara Tauson,Clara,Tauson,25,2,0.60,0.85,0.34,0.47,0.39,0.15,DEN,23,15,15,4,6
navar,Emma Navarro,Emma,Navarro,26,2,0.61,0.86,0.36,0.49,0.39,0.08,USA,25,7,13,5,5
merte,Elise Mertens,Elise,Mertens,27,2,0.57,0.84,0.35,0.49,0.41,0.12,BEL,30,15,11,4,6
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.55,0.84,0.36,0.48,0.37,0.05,AUT,25,10,14,3,7
li,Ann Li,Ann,Li,29,2,0.57,0.92,0.36,0.47,0.39,0.10,USA,26,11,14,5,5
bapti,Hailey Baptiste,Hailey,Baptiste,30,2,0.58,0.88,0.36,0.44,0.41,0.10,USA,24,11,8,6,4
ostap,Jelena Ostapenko,Jelena,Ostapenko,31,2,0.56,0.82,0.36,0.49,0.37,0.08,LAT,29,9,10,5,5
eala,Alexandra Eala,Alexandra,Eala,32,2,0.63,0.87,0.39,0.50,0.39,0.02,PHI,21,25,12,6,4
raduc,Emma Raducanu,Emma,Raducanu,33,2,0.66,0.85,0.37,0.49,0.38,0.07,GBR,23,7,7,5,5
vekic,Donna Vekic,Donna,Vekic,34,2,0.56,0.83,0.34,0.46,0.39,0.09,CRO,30,7,11,5,5
bucsa,Cristina Bucsa,Cristina,Bucsa,35,2,0.64,0.88,0.38,0.48,0.37,0.03,ESP,28,9,12,2,8
sinia,Katerina Siniakova,Katerina,Siniakova,36,2,0.63,0.81,0.40,0.46,0.38,0.04,CZE,30,8,10,4,6
crist,Jaqueline Cristian,Jaqueline,Cristian,37,2,0.61,0.87,0.35,0.47,0.37,0.07,ROU,28,11,8,4,6
krejc,Barbora Krejcikova,Barbora,Krejcikova,38,2,0.60,0.82,0.36,0.46,0.42,0.09,CZE,30,11,7,6,4
wang,Xinyu Wang,Xinyu,Wang,39,2,0.69,0.86,0.40,0.52,0.41,0.04,CHN,25,21,5,8,2
siege,Laura Siegemund,Laura,Siegemund,40,2,0.73,0.82,0.38,0.47,0.38,0.02,GER,38,3,6,4,6
samso,Liudmila Samsonova,Liudmila,Samsonova,41,2,0.54,0.85,0.33,0.46,0.42,0.10,RUS,27,12,12,6,4
tjen,Janice Tjen,Janice,Tjen,42,2,0.62,0.88,0.37,0.51,0.42,0.09,INA,24,13,13,5,5
sakka,Maria Sakkari,Maria,Sakkari,43,2,0.61,0.90,0.36,0.49,0.39,0.07,GRE,31,15,10,6,4
frech,Magdalena Frech,Magdalena,Frech,44,2,0.62,0.92,0.36,0.49,0.37,0.06,POL,28,15,12,5,5
