id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l
etche,Tomas Martin Etcheverry,Tomas,Martin Etcheverry,32,2,0.65,0.94,0.27,0.44,0.38,0.16,ARG,27,5,5,0,10
tabil,Alejandro Tabilo,Alejandro,Tabilo,33,2,0.67,0.93,0.27,0.43,0.38,0.15,CHI,29,6,5,2,8
buse,Ignacio Buse,Ignacio,Buse,34,2,0.60,0.89,0.31,0.42,0.37,0.11,PER,22,3,2,4,6
arnal,Matteo Arnaldi,Matteo,Arnaldi,35,2,0.57,0.90,0.29,0.43,0.37,0.14,ITA,25,1,3,5,5
block,Alexander Blockx,Alexander,Blockx,36,2,0.62,0.94,0.33,0.42,0.39,0.15,BEL,21,29,10,4,6
bergs,Zizou Bergs,Zizou,Bergs,37,2,0.59,0.89,0.28,0.44,0.40,0.16,BEL,27,8,7,8,2
navon,Mariano Navone,Mariano,Navone,38,2,0.65,0.90,0.32,0.45,0.37,0.05,ARG,25,11,5,2,8
moute,Corentin Moutet,Corentin,Moutet,39,2,0.64,0.90,0.32,0.47,0.36,0.07,FRA,27,7,7,2,8
manna,Adrian Mannarino,Adrian,Mannarino,40,2,0.60,0.93,0.28,0.46,0.37,0.11,FRA,38,8,12,4,6
shapo,Denis Shapovalov,Denis,Shapovalov,41,2,0.60,0.83,0.31,0.47,0.41,0.19,CAN,27,6,6,2,8
cerun1,Juan Manuel Cerundolo,Juan,Manuel Cerundolo,42,2,0.59,0.91,0.30,0.44,0.37,0.10,ARG,24,2,2,5,5
colli,Raphael Collignon,Raphael,Collignon,43,2,0.65,0.82,0.31,0.46,0.41,0.13,BEL,24,24,7,6,4
clar,Jaume Antoni Munar Clar,Jaume,Antoni Munar Clar,44,2,0.63,0.91,0.30,0.45,0.40,0.11,ESP,29,5,5,4,6
majch,Kamil Majchrzak,Kamil,Majchrzak,45,2,0.63,0.95,0.28,0.47,0.37,0.12,POL,30,7,9,6,4
miche,Alex Michelsen,Alex,Michelsen,46,2,0.67,0.91,0.28,0.46,0.38,0.11,USA,21,12,7,6,4
quinn,Ethan Quinn,Ethan,Quinn,47,2,0.62,0.90,0.28,0.42,0.39,0.16,USA,22,16,7,6,4
borge,Nuno Borges,Nuno,Borges,48,2,0.65,0.91,0.26,0.44,0.38,0.12,POR,29,8,13,6,4
macha,Tomas Machac,Tomas,Machac,49,2,0.62,0.92,0.28,0.45,0.39,0.12,CZE,25,8,5,5,5
kecma,Miomir Kecmanovic,Miomir,Kecmanovic,50,2,0.61,0.92,0.27,0.47,0.38,0.12,SRB,26,9,11,5,5
berre,Matteo Berrettini,Matteo,Berrettini,51,2,0.67,0.94,0.27,0.40,0.40,0.21,ITA,30,3,2,7,3
atman,Terence Atmane,Terence,Atmane,52,2,0.59,0.89,0.27,0.45,0.40,0.18,FRA,24,7,10,2,8
