id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
ofner,Sebastian Ofner,Sebastian,Ofner,110,2,0.56,0.89,0.26,0.35,0.38,0.12,AUT,30,36,28,2,8,1
basil,Nikoloz Basilashvili,Nikoloz,Basilashvili,111,2,0.51,0.84,0.36,0.38,0.32,0.15,GEO,34,14,19,3,7,1
svrci,Dalibor Svrcina,Dalibor,Svrcina,112,2,0.59,0.85,0.37,0.48,0.37,0.06,CZE,23,39,27,3,7,1
kypso,Patrick Kypson,Patrick,Kypson,113,2,0.60,0.93,0.29,0.44,0.42,0.13,USA,26,4,8,3,7,0
fery,Arthur Fery,Arthur,Fery,114,2,0.62,0.94,0.36,0.43,0.38,0.05,GBR,24,16,12,8,2,0
opelk,Reilly Opelka,Reilly,Opelka,115,2,0.60,0.87,0.24,0.37,0.43,0.22,USA,28,0,3,4,6,0
drogu,Titouan Droguet,Titouan,Droguet,116,2,0.59,0.90,0.33,0.47,0.35,0.10,FRA,25,33,17,7,3,1
riedi,Leandro Riedi,Leandro,Riedi,117,2,0.62,0.92,0.35,0.40,0.39,0.06,SUI,24,8,6,5,5,0
gasto,Hugo Gaston,Hugo,Gaston,118,2,0.50,0.96,0.36,0.49,0.38,0.05,FRA,25,27,23,4,6,1
ruiz,Pablo Llamas Ruiz,Pablo,Llamas Ruiz,119,2,0.72,0.94,0.36,0.47,0.39,0.03,ESP,23,54,16,6,4,0
