id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
halys,Quentin Halys,Quentin,Halys,95,2,0.53,0.90,0.25,0.45,0.39,0.31,FRA,29,20,13,8,2,1
hurka,Hubert Hurkacz,Hubert,Hurkacz,96,2,0.67,0.88,0.33,0.45,0.39,0.25,POL,29,15,11,8,2,1
spizz,Eliot Spizzirri,Eliot,Spizzirri,97,2,0.68,0.93,0.32,0.47,0.38,0.11,USA,24,7,4,6,4,0
faria,Jaime Faria,Jaime,Faria,98,2,0.56,0.82,0.32,0.41,0.40,0.20,POR,23,17,8,8,2,1
shevc,Alexander Shevchenko,Alexander,Shevchenko,99,2,0.61,0.91,0.26,0.42,0.37,0.13,KAZ,25,12,15,4,6,0
choin,Jan Choinski,Jan,Choinski,100,2,0.60,0.82,0.25,0.35,0.39,0.16,GBR,30,5,9,6,4,1
molca,Alex Molcan,Alex,Molcan,101,2,0.66,0.92,0.28,0.47,0.36,0.08,SVK,28,3,5,6,4,0
molca1,Alex Molcan,Alex,Molcan,101,2,0.66,0.92,0.28,0.47,0.36,0.08,SVK,28,3,5,6,4,0
wu,Yibing Wu,Yibing,Wu,102,2,0.58,0.90,0.22,0.47,0.34,0.05,CHN,26,18,11,5,5,1
popyr,Alexei Popyrin,Alexei,Popyrin,103,2,0.61,0.90,0.28,0.34,0.40,0.14,AUS,27,7,16,5,5,1
vukic,Aleksandar Vukic,Aleksandar,Vukic,104,2,0.59,0.95,0.25,0.42,0.42,0.19,AUS,30,23,14,5,5,1
dzumh,Damir Dzumhur,Damir,Dzumhur,105,2,0.65,0.91,0.30,0.45,0.37,0.03,BIH,34,3,8,6,4,0
damm,Martin Damm,Martin,Damm,106,2,0.61,0.85,0.30,0.34,0.42,0.25,USA,22,16,13,5,5,1
yunch,Bu Yunchaokete,Bu,Yunchaokete,107,2,0.56,0.89,0.27,0.45,0.38,0.17,CHN,24,21,15,5,5,1
wong,Chak Lam Coleman Wong,Chak,Lam Coleman Wong,108,2,0.51,0.87,0.29,0.42,0.40,0.30,HKG,22,41,23,7,3,1
wawri,Stan Wawrinka,Stan,Wawrinka,109,2,0.51,0.92,0.25,0.17,0.43,0.08,SUI,41,8,10,3,7,1
ofner,Sebastian Ofner,Sebastian,Ofner,110,2,0.54,0.85,0.32,0.39,0.33,0.13,AUT,30,11,11,1,9,1
basil,Nikoloz Basilashvili,Nikoloz,Basilashvili,111,2,0.50,0.86,0.26,0.35,0.32,0.09,GEO,34,5,13,2,8,1
svrci,Dalibor Svrcina,Dalibor,Svrcina,112,2,0.57,0.83,0.37,0.50,0.39,0.10,CZE,23,14,14,4,6,1
kypso,Patrick Kypson,Patrick,Kypson,113,2,0.64,0.92,0.27,0.46,0.40,0.16,USA,26,8,10,4,6,0
fery,Arthur Fery,Arthur,Fery,114,2,0.60,0.94,0.27,0.44,0.40,0.10,GBR,24,14,6,7,3,1
opelk,Reilly Opelka,Reilly,Opelka,115,2,0.66,0.86,0.20,0.35,0.42,0.35,USA,29,6,5,4,6,0
drogu,Titouan Droguet,Titouan,Droguet,116,2,0.59,0.89,0.29,0.47,0.36,0.13,FRA,25,21,10,6,4,1
riedi,Leandro Riedi,Leandro,Riedi,117,2,0.60,0.90,0.30,0.47,0.39,0.15,SUI,24,14,9,5,5,0
gasto,Hugo Gaston,Hugo,Gaston,118,2,0.51,0.93,0.38,0.52,0.39,0.07,FRA,25,14,11,5,5,1
ruiz,Pablo Llamas Ruiz,Pablo,Llamas Ruiz,119,2,0.67,0.95,0.30,0.48,0.36,0.07,ESP,23,12,14,4,6,1
