id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
bouzk,Marie Bouzkova,Marie,Bouzkova,23,2,0.66,0.85,0.40,0.52,0.42,0.04,CZE,27,9,4,8,2,0
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,24,2,0.62,0.82,0.36,0.48,0.43,0.04,CAN,23,8,7,3,7,0
tauso,Clara Tauson,Clara,Tauson,25,2,0.59,0.88,0.37,0.48,0.39,0.06,DEN,23,0,3,3,7,0
navar,Emma Navarro,Emma,Navarro,26,2,0.58,0.89,0.43,0.51,0.41,0.04,USA,25,7,3,7,3,0
merte,Elise Mertens,Elise,Mertens,27,2,0.59,0.85,0.39,0.49,0.42,0.09,BEL,30,6,4,6,4,0
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.56,0.87,0.42,0.52,0.41,0.07,AUT,25,17,5,5,5,0
li,Ann Li,Ann,Li,29,2,0.60,0.92,0.39,0.46,0.38,0.08,USA,26,9,6,5,5,0
bapti,Hailey Baptiste,Hailey,Baptiste,30,2,0.56,0.87,0.37,0.44,0.44,0.11,USA,24,7,5,6,4,0
ostap,Jelena Ostapenko,Jelena,Ostapenko,31,2,0.58,0.80,0.39,0.51,0.41,0.09,LAT,29,7,5,6,4,0
eala,Alexandra Eala,Alexandra,Eala,32,2,0.65,0.89,0.38,0.47,0.36,0.02,PHI,21,4,6,6,4,0
raduc,Emma Raducanu,Emma,Raducanu,33,2,0.63,0.88,0.39,0.47,0.37,0.06,GBR,23,0,2,5,5,0
vekic,Donna Vekic,Donna,Vekic,34,2,0.59,0.85,0.37,0.49,0.43,0.07,CRO,30,12,5,6,4,0
bucsa,Cristina Bucsa,Cristina,Bucsa,35,2,0.65,0.86,0.40,0.47,0.37,0.02,ESP,28,0,4,4,6,0
sinia,Katerina Siniakova,Katerina,Siniakova,36,2,0.61,0.83,0.42,0.46,0.41,0.03,CZE,30,4,4,5,5,0
crist,Jaqueline Cristian,Jaqueline,Cristian,37,2,0.60,0.89,0.40,0.47,0.40,0.06,ROU,28,5,6,4,6,0
krejc,Barbora Krejcikova,Barbora,Krejcikova,38,2,0.63,0.84,0.36,0.46,0.44,0.06,CZE,30,5,3,8,2,0
wang,Xinyu Wang,Xinyu,Wang,39,2,0.71,0.88,0.44,0.54,0.40,0.02,CHN,25,18,4,6,4,0
siege,Laura Siegemund,Laura,Siegemund,40,2,0.73,0.86,0.40,0.47,0.39,0.01,GER,38,4,4,4,6,0
samso,Liudmila Samsonova,Liudmila,Samsonova,41,2,0.61,0.89,0.37,0.48,0.42,0.06,RUS,27,3,5,3,7,0
tjen,Janice Tjen,Janice,Tjen,42,2,0.63,0.85,0.38,0.54,0.39,0.06,INA,24,2,5,3,7,0
sakka,Maria Sakkari,Maria,Sakkari,43,2,0.61,0.88,0.37,0.46,0.42,0.07,GRE,30,3,5,6,4,0
frech,Magdalena Frech,Magdalena,Frech,44,2,0.62,0.94,0.38,0.46,0.37,0.04,POL,28,2,5,3,7,0
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.72,0.87,0.46,0.52,0.39,0.01,CZE,20,2,5,4,6,0
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,46,2,0.67,0.87,0.39,0.49,0.40,0.02,ITA,25,5,5,4,6,0
marci,Petra Marcinko,Petra,Marcinko,47,2,0.55,0.84,0.35,0.51,0.40,0.01,CRO,20,14,8,6,4,1
bartu,Nikola Bartunkova,Nikola,Bartunkova,48,2,0.52,0.78,0.42,0.49,0.45,0.06,CZE,20,5,5,6,4,0
parry,Diane Parry,Diane,Parry,49,2,0.62,0.90,0.36,0.47,0.40,0.05,FRA,23,8,6,6,4,0
mcnal,Caty McNally,Caty,McNally,50,2,0.69,0.83,0.44,0.54,0.38,0.01,USA,24,6,5,6,4,0
